"Ownership total";"2026";"District - Indre By";2781;7002;8793;12157
"Ownership total";"2026";"District - Østerbro";4355;14246;12468;13542
"Ownership total";"2026";"District - Nørrebro";5822;15246;12805;8494
"Ownership total";"2026";"District - Vesterbro/Kongens Enghave";4140;14520;13682;10937
"Ownership total";"2026";"District - Valby";3847;11130;10442;8423
"Ownership total";"2026";"District - Vanløse";1736;7847;5312;6039
"Ownership total";"2026";"District - Brønshøj-Husum";2090;5956;6517;7014
"Ownership total";"2026";"District - Bispebjerg";4084;13619;8518;4810
"Ownership total";"2026";"District - Amager Øst";3717;13033;9859;7451
"Ownership total";"2026";"District - Amager Vest";7668;11922;13816;12837
"Ownership total";"2026";"District - Unlocated";0;0;0;0
"Ownership total";"2026";"Local committee district - Indre By";2269;4867;6489;9787
"Ownership total";"2026";"Local committee district - Christianshavn";512;2135;2304;2370
"Ownership total";"2026";"Local committee district - Østerbro";4355;14246;12468;13542
"Ownership total";"2026";"Local committee district - Nørrebro";5822;15246;12805;8494
"Ownership total";"2026";"Local committee district - Vesterbro";1636;7483;7791;7688
"Ownership total";"2026";"Local committee district - Kgs. Enghave";2504;7037;5891;3249
"Ownership total";"2026";"Local committee district - Valby";3847;11130;10442;8423
"Ownership total";"2026";"Local committee district - Vanløse";1736;7847;5312;6039
"Ownership total";"2026";"Local committee district - Brønshøj-Husum";2090;5956;6517;7014
"Ownership total";"2026";"Local committee district - Bispebjerg";4084;13619;8518;4810
"Ownership total";"2026";"Local committee district - Amager Øst";3717;13033;9859;7451
"Ownership total";"2026";"Local committee district - Amager Vest";7668;11922;13816;12837
"Ownership total";"2026";"Local committee district - Unlocated";0;0;0;0
"Ownership total";"2026";"Indre By - Middelalderbyen";478;1280;1484;1667
"Ownership total";"2026";"Indre By - Metropolzonen";141;241;313;749
"Ownership total";"2026";"Indre By - Nansensgade-kvarteret";226;631;1011;1466
"Ownership total";"2026";"Indre By - Øster Farimagsgade-kvarteret";120;410;964;1952
"Ownership total";"2026";"Indre By - Østerport";109;387;381;1295
"Ownership total";"2026";"Indre By - Frederiksstaden";1068;1644;1829;1843
"Ownership total";"2026";"Indre By - Gammelholm og Nyhavn";127;274;507;815
"Ownership total";"2026";"Christianshavn - Neden Vandet";89;420;783;534
"Ownership total";"2026";"Christianshavn - Oven Vandet";308;1454;1066;999
"Ownership total";"2026";"Christianshavn - Holmen og Refshaleøen";115;261;455;837
"Ownership total";"2026";"Østerbro - Nord/Komponistkvarteret";117;644;478;621
"Ownership total";"2026";"Østerbro - Svanemøllen Syd/Øst";1107;2409;1741;1369
"Ownership total";"2026";"Østerbro - Århusgade Nord";260;2709;1270;1227
"Ownership total";"2026";"Østerbro - Århusgade Syd";228;1838;1498;2538
"Ownership total";"2026";"Østerbro - Rosenvænget";315;975;1360;2293
"Ownership total";"2026";"Østerbro - Ny Ryvang";510;398;796;197
"Ownership total";"2026";"Østerbro - Nord";138;719;698;1116
"Ownership total";"2026";"Østerbro - Nordhavn";343;837;1333;1119
"Ownership total";"2026";"Østerbro - Lyngbyvej Vest";603;858;806;646
"Ownership total";"2026";"Østerbro - Lyngbyvej Øst/Klimakvarteret";110;1492;1346;946
"Ownership total";"2026";"Østerbro - Fælled";624;1367;1142;1470
"Ownership total";"2026";"Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade";677;1761;2515;2149
"Ownership total";"2026";"Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade";2250;3551;2817;2299
"Ownership total";"2026";"Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade";665;3920;2749;2018
"Ownership total";"2026";"Nørrebro - Mimersgade-kvarteret/ Nørrebro St.";1384;3620;2988;1428
"Ownership total";"2026";"Nørrebro - Haraldsgade-kvarteret";846;2394;1736;600
"Ownership total";"2026";"Vesterbro - Vest";588;1882;2105;2267
"Ownership total";"2026";"Vesterbro - Central";414;4087;3777;3318
"Ownership total";"2026";"Vesterbro - Øst";147;913;1226;1367
"Ownership total";"2026";"Vesterbro - Syd";487;601;683;736
"Ownership total";"2026";"Kgs. Enghave - Bavnehøj";564;1653;410;62
"Ownership total";"2026";"Kgs. Enghave - Gl. Sydhavn";1150;4231;2026;931
"Ownership total";"2026";"Kgs. Enghave - Holmene";790;1153;3455;2256
