"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Indre By";581974
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Østerbro";511847
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Nørrebro";375472
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Vesterbro/Kongens Enghave";459533
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Valby";418442
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Vanløse";435360
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Brønshøj-Husum";392116
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Bispebjerg";361680
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Amager Øst";425147
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Amager Vest";440468
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"District - Unlocated";231926
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Indre By";596329
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Christianshavn";535427
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Østerbro";511847
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Nørrebro";375472
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Vesterbro";491295
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Kgs. Enghave";416545
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Valby";418442
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Vanløse";435360
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Brønshøj-Husum";392116
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Bispebjerg";361680
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Amager Øst";425147
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Amager Vest";440468
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Local committee district - Unlocated";231926
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Middelalderbyen";531468
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Metropolzonen";593984
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Nansensgade-kvarteret";472813
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Øster Farimagsgade-kvarteret";637662
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Østerport";705445
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Frederiksstaden";656750
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Indre By - Gammelholm og Nyhavn";596767
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Christianshavn - Neden Vandet";697670
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Christianshavn - Oven Vandet";413081
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Christianshavn - Holmen og Refshaleøen";633535
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Nord/Komponistkvarteret";540973
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Svanemøllen Syd/Øst";407369
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Århusgade Nord";448440
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Århusgade Syd";497019
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Rosenvænget";522918
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Ny Ryvang";343747
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Nord";830995
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Nordhavn";879447
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Lyngbyvej Vest";418239
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Lyngbyvej Øst/Klimakvarteret";426001
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Østerbro - Fælled";466023
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade";401007
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade";382050
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade";385177
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Nørrebro - Mimersgade-kvarteret/ Nørrebro St.";364570
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Nørrebro - Haraldsgade-kvarteret";328758
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vesterbro - Vest";543137
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vesterbro - Central";434721
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vesterbro - Øst";451718
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vesterbro - Syd";702224
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Kgs. Enghave - Bavnehøj";306858
