FID,navn,adresse,post_nr,postdistrikt,e_mail,link,id,vejkode,husnr,wkb_geometry
kulturhus.1,Karens Minde Kulturhus ,Wagnersvej 19,2450,København SV,karensminde@kmkulturhus.dk,https://kmkulturhus.dk/,10,7888,19,MULTIPOINT ((12.529608007853222 55.64678342300336))
kulturhus.2,Kulturstationen Vanløse,"Frode Jakobsens Plads 4, 1",2720,Vanløse,vkh@kff.kk.dk,https://kulturv.kk.dk/kulturstationen ,19,1998,4,MULTIPOINT ((12.491065844922206 55.687068280466626))
kulturhus.3,Union,Nørre Allé 7,2200,København N,vkc@kff.kk.dk,https://union.kk.dk ,20,5188,7,MULTIPOINT ((12.560564378775291 55.6915316292052))
kulturhus.4,Valby Kulturhus,Valgårdsvej 4-8,2500,Valby,valbykulturhus@kff.kk.dk,https://kulturv.kk.dk/valbykulturhus,14,7932,8,MULTIPOINT ((12.51843103099587 55.66096652270156))
kulturhus.5,Kraftwerket,Valgårdsvej 2,2500,Valby,Info@kraftWerket.dk,https://www.facebook.com/kraftwerket/,11,7932,2,MULTIPOINT ((12.518551716930665 55.66143538833229))
kulturhus.6,Vesterbro Bibliotek og Kulturhus,Lyrskovgade 4,1758,København V,kulturanstalten@kff.kk.dk,https://kulturv.kk.dk/vesterbrobibliotekogkulturhus,23,4496,4,MULTIPOINT ((12.543715195819505 55.66782679400342))
kulturhus.7,Krudttønden,Serridslevvej 2,2100,København Ø,krudt@kff.kk.dk,https://krudttonden.kk.dk,12,6340,2,MULTIPOINT ((12.575089313751487 55.70520344491336))
kulturhus.8,Rytterskolen,Brønshøjvej 1,2700,Brønshøj,rytterskolen@kff.kk.dk,https://kulturn.kk.dk/rytterskolen,3,0944,1,MULTIPOINT ((12.497972415289786 55.70389177818771))
kulturhus.9,Tingbjerg Bibliotek og Kulturhus,Skolesiden 4,2700,Brønshøj,bibliotek@kff.kk.dk ,https://bibliotek.kk.dk/bibliotek/tingbjerg ,33,6494,4,MULTIPOINT ((12.484316491196862 55.719112982291165))
kulturhus.10,Lygten Station,Lygten Station 2,2400,København NV,jakobh@kff.kk.dk,https://kulturn.kk.dk/lygten-station,17,4460,2,MULTIPOINT ((12.53770158392587 55.701582686989305))
kulturhus.11,Brønshøj Vandtårn,Brønshøjvej 29,2700,Brønshøj,vandtaarn@kff.kk.dk,https://vandtaarn.kk.dk/,34,0944,29,MULTIPOINT ((12.49833986819758 55.7003072668754))
kulturhus.12,Amager Kulturpunkt,Øresundsvej 6,2300,København S,info@amager-kulturpunkt.dk,https://amager-kulturpunkt.kk.dk/,4,8544,6,MULTIPOINT ((12.609358350924044 55.65794962071483))
kulturhus.13,Christianshavns Beboerhus ,Dronningensgade 34,1420,København K,mail@beboerhus.dk,https://beboerhus.dk/ ,6,1352,34,MULTIPOINT ((12.590967441098595 55.671248041618036))
kulturhus.14,Børnekulturhus Amar,Øresundsvej 8 B,2300,København S,boernekulturhus-amar@amager-kulturpunkt.dk,https://bornekulturhusamar.kk.dk/,27,8544,8B,MULTIPOINT ((12.609796103727524 55.65782747830077))
kulturhus.15,Børnekulturhuset Sokkelundlille ,Utterslev Torv 9,2400,København NV,connic@kff.kk.dk,https://bornekulturhusetsokkelundlille.kk.dk/,22,7880,9,MULTIPOINT ((12.51664967881934 55.70992860797444))
kulturhus.16,Kulturhuset Indre By ,Charlotte Ammundsens Plads 3,1359,København K,susjen@kff.kk.dk,https://kulturhusetindreby.kk.dk/,16,1099,3,MULTIPOINT ((12.56364838714551 55.68361060178299))
kulturhus.17,Kulturhuset Islands Brygge,Islands Brygge 18,2300,København S,k-i-b@kff.kk.dk,https://kulturhusetislandsbrygge.kk.dk/,18,3300,18,MULTIPOINT ((12.576278352705396 55.66683682683283))
